	Country	Invader_Species	Role	Email
0	Afghanistan	aliens	attack	stature@avengers.com
1	Afghanistan	predators	attack	stature@avengers.com
2	Afghanistan	d&d_beholder	attack	stature@avengers.com
3	Afghanistan	d&d_beholder	defense	stature@avengers.com
4	Afghanistan	d&d_beholder	heal	agent.venom@avengers.com
5	Afghanistan	d&d_devil	attack	stature@avengers.com
6	Afghanistan	d&d_devil	defense	stature@avengers.com
7	Afghanistan	d&d_devil	heal	batman@dc-world.com
8	Afghanistan	d&d_lich	attack	stature@avengers.com
9	Afghanistan	d&d_lich	defense	stature@avengers.com
10	Afghanistan	d&d_lich	heal	hulk@avengers.com
11	Afghanistan	d&d_mind_flayer	attack	stature@avengers.com
12	Afghanistan	d&d_mind_flayer	defense	stature@avengers.com
13	Afghanistan	d&d_mind_flayer	heal	havok@avengers.com
14	Afghanistan	d&d_vampire	attack	stature@avengers.com
15	Afghanistan	d&d_vampire	defense	stature@avengers.com
16	Afghanistan	d&d_vampire	heal	sunspot@avengers.com
17	Afghanistan	d&d_red_dragon	attack	stature@avengers.com
18	Afghanistan	d&d_red_dragon	defense	stature@avengers.com
19	Afghanistan	d&d_red_dragon	heal	smasher@avengers.com
20	Afghanistan	d&d_hill_giant	attack	stature@avengers.com
21	Afghanistan	d&d_hill_giant	defense	stature@avengers.com
22	Afghanistan	d&d_hill_giant	heal	hawkeye@avengers.com
23	Afghanistan	d&d_treant	attack	stature@avengers.com
24	Afghanistan	d&d_treant	defense	stature@avengers.com
25	Afghanistan	d&d_treant	heal	hawkeye@avengers.com
26	Afghanistan	d&d_werewolf	attack	stature@avengers.com
27	Afghanistan	d&d_werewolf	defense	stature@avengers.com
28	Afghanistan	d&d_werewolf	heal	rogue@avengers.com
29	Afghanistan	d&d_yuan-ti	attack	stature@avengers.com
30	Afghanistan	d&d_yuan-ti	defense	stature@avengers.com
31	Afghanistan	d&d_yuan-ti	heal	abyss@avengers.com
32	Albania	aliens	attack	iron.man@avengers.com
33	Albania	predators	attack	thor@avengers.com
34	Albania	d&d_beholder	attack	wasp@avengers.com
35	Albania	d&d_beholder	defense	wasp@avengers.com
36	Albania	d&d_beholder	heal	wasp@avengers.com
37	Albania	d&d_devil	attack	ant.man@avengers.com
38	Albania	d&d_devil	defense	ant.man@avengers.com
39	Albania	d&d_devil	heal	batman@dc-world.com
40	Albania	d&d_lich	attack	hulk@avengers.com
41	Albania	d&d_lich	defense	hulk@avengers.com
42	Albania	d&d_lich	heal	hulk@avengers.com
43	Albania	d&d_mind_flayer	attack	capatain.america@avengers.com
44	Albania	d&d_mind_flayer	defense	capatain.america@avengers.com
45	Albania	d&d_mind_flayer	heal	capatain.america@avengers.com
46	Albania	d&d_vampire	attack	capatain.america@avengers.com
47	Albania	d&d_vampire	defense	capatain.america@avengers.com
48	Albania	d&d_vampire	heal	capatain.america@avengers.com
49	Albania	d&d_red_dragon	attack	capatain.america@avengers.com
50	Albania	d&d_red_dragon	defense	capatain.america@avengers.com
51	Albania	d&d_red_dragon	heal	capatain.america@avengers.com
52	Albania	d&d_hill_giant	attack	hawkeye@avengers.com
53	Albania	d&d_hill_giant	defense	hawkeye@avengers.com
54	Albania	d&d_hill_giant	heal	hawkeye@avengers.com
55	Albania	d&d_treant	attack	hawkeye@avengers.com
56	Albania	d&d_treant	defense	hawkeye@avengers.com
57	Albania	d&d_treant	heal	hawkeye@avengers.com
58	Albania	d&d_werewolf	attack	capatain.america@avengers.com
59	Albania	d&d_werewolf	defense	capatain.america@avengers.com
